cluster_id,month,top_feature_jaccard_vs_prev,n_features
48,2016-10,1.0,11
48,2016-11,1.0,11
48,2016-12,1.0,11
48,2017-01,0.4,10
48,2017-02,0.6666666666666666,10
48,2017-03,1.0,10
48,2017-04,0.8181818181818182,10
48,2017-05,1.0,10
48,2017-06,0.8181818181818182,10
48,2017-07,0.8181818181818182,10
48,2017-08,1.0,10
48,2017-09,0.8181818181818182,10
48,2017-10,1.0,10
48,2017-11,1.0,10
48,2017-12,1.0,10
48,2018-01,1.0,10
48,2018-02,1.0,10
48,2018-03,1.0,10
48,2018-04,1.0,10
48,2018-05,1.0,10
48,2018-06,1.0,10
48,2018-07,1.0,10
48,2018-08,1.0,10
48,2018-09,1.0,10
48,2018-10,1.0,10
48,2018-11,0.42857142857142855,10
48,2018-12,1.0,10
49,2016-11,1.0,10
49,2016-12,1.0,10
49,2017-01,0.16666666666666666,11
49,2017-02,0.23529411764705882,10
49,2017-03,0.8181818181818182,10
49,2017-04,1.0,10
49,2017-05,0.8181818181818182,10
49,2017-06,1.0,10
49,2017-07,1.0,10
49,2017-08,1.0,10
49,2017-09,1.0,10
49,2017-10,1.0,10
49,2017-11,1.0,10
49,2017-12,1.0,10
49,2018-01,1.0,10
49,2018-02,1.0,10
49,2018-03,1.0,10
49,2018-04,1.0,10
49,2018-05,1.0,10
49,2018-06,1.0,10
49,2018-07,1.0,10
49,2018-08,1.0,10
49,2018-09,1.0,10
49,2018-10,1.0,10
49,2018-11,0.5,11
49,2018-12,0.75,10
50,2016-12,1.0,11
50,2017-01,0.3125,10
50,2017-02,0.0,10
50,2017-03,1.0,10
50,2017-04,1.0,10
50,2017-05,1.0,10
50,2017-06,0.0,11
50,2017-07,1.0,11
50,2017-08,1.0,11
50,2017-09,1.0,11
50,2017-10,0.75,10
50,2017-11,1.0,10
50,2017-12,1.0,10
50,2018-01,1.0,10
50,2018-02,1.0,10
50,2018-03,1.0,10
50,2018-04,0.8181818181818182,10
50,2018-05,0.75,11
50,2018-06,1.0,11
50,2018-07,1.0,11
50,2018-08,1.0,11
50,2018-09,1.0,11
50,2018-10,1.0,11
50,2018-11,0.5,10
50,2018-12,1.0,10
51,2017-04,1.0,11
51,2017-05,1.0,11
51,2017-06,0.4,10
51,2017-07,1.0,10
51,2017-08,1.0,10
51,2017-09,1.0,10
51,2017-10,1.0,10
51,2017-11,1.0,10
51,2017-12,0.8181818181818182,10
51,2018-01,1.0,10
51,2018-02,0.8181818181818182,10
51,2018-03,0.8181818181818182,10
51,2018-04,0.8181818181818182,10
51,2018-05,0.8181818181818182,10
51,2018-06,1.0,10
51,2018-07,1.0,10
51,2018-08,1.0,10
51,2018-09,1.0,10
51,2018-10,1.0,10
51,2018-11,0.1111111111111111,10
51,2018-12,1.0,10
52,2017-04,0.6666666666666666,10
52,2017-05,1.0,10
52,2017-06,0.42857142857142855,10
52,2017-07,1.0,10
52,2017-08,0.42857142857142855,10
52,2017-09,1.0,10
52,2017-10,1.0,10
52,2017-11,1.0,10
52,2017-12,1.0,10
52,2018-01,1.0,10
52,2018-02,1.0,10
52,2018-03,0.6666666666666666,10
52,2018-04,1.0,10
52,2018-05,1.0,10
52,2018-06,1.0,10
52,2018-07,1.0,10
52,2018-08,1.0,10
52,2018-09,0.8181818181818182,10
52,2018-10,1.0,10
52,2018-11,0.23529411764705882,11
52,2018-12,1.0,11
53,2017-05,1.0,10
53,2017-06,0.42857142857142855,10
53,2017-07,0.8181818181818182,10
53,2017-08,0.4,11
