month,method,total,updated,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,confidence_shift_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,use_drift_score,selection_strategy,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,time_sec,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr
2016-05,UncertaintyOnly,4502,2023,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4494,standard,0.638054,0.336538,-0.301516,0.11171527434503213,2.1826,0.9181353788997807,0.8296460176991151,0.01308641975308642,0.06617283950617284,0.9513886157543974,0.8836827173760398
2016-06,UncertaintyOnly,3085,1389,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4502,standard,0.603597,0.471143,-0.132454,0.10727141828653708,1.5251,0.9205007135575943,0.8381294964028777,0.012112575703598147,0.02386889918061988,0.9713325883646485,0.8840702115210785
2016-07,UncertaintyOnly,3377,1518,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4495,standard,0.651096,0.472847,-0.178249,0.10935441370223979,1.7715,0.9244762313706547,0.9147727272727273,0.023140495867768594,0.01884297520661157,0.9765838655146506,0.9019936065831636
2016-08,UncertaintyOnly,5447,2451,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.45,standard,0.794429,0.510969,-0.28346,0.1211750305997552,2.7978,0.9076593805956708,0.8617021276595744,0.023346303501945526,0.03153798894122466,0.9623767071457932,0.8692657882712085
2016-09,UncertaintyOnly,1526,688,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4509,standard,0.808856,0.666246,-0.14261,0.1002906976744186,0.8476,0.8997947960272511,0.722972972972973,0.0050798258345428155,0.1683599419448476,0.9534725218687483,0.8593106528739893
2016-10,UncertaintyOnly,839,377,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4493,standard,1.107445,0.443134,-0.664311,0.11405835543766578,0.4498,0.8559739070725567,0.6172839506172839,0.006596306068601583,0.13720316622691292,0.9594612202351868,0.8260570555283466
2016-11,UncertaintyOnly,213,63,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2958,standard,1.2534,0.958208,-0.295191,0.07936507936507936,0.1407,0.8329411764705883,0.782608695652174,0.05263157894736842,0.45263157894736844,0.8893592677345538,0.7705016934966302
2016-12,UncertaintyOnly,75,21,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.28,standard,1.460345,0.808401,-0.651944,0.19047619047619047,0.0458,0.6785714285714286,0.25,0.0,0.7761194029850746,0.8572761194029851,0.6151800588770928
2017-01,UncertaintyOnly,5600,1682,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.3004,standard,1.687879,0.560821,-1.127058,0.19322235434007135,2.368,0.7874991620469214,0.64,0.0502,0.1638,0.9155736666666667,0.6539424760211928
2017-02,UncertaintyOnly,5600,1674,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2989,standard,0.633287,0.451578,-0.181708,0.14157706093189965,2.7146,0.9251270716285396,0.9266666666666666,0.0252,0.0188,0.9704235000000001,0.8906138249062985
2017-03,UncertaintyOnly,5600,1674,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2989,standard,0.77695,0.892934,0.115983,0.20430107526881722,2.2809,0.8691382946384931,0.6366666666666667,0.0042,0.196,0.935119,0.8605788920165183
2017-04,UncertaintyOnly,5600,2519,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.4498,standard,1.073991,0.281907,-0.792084,0.09090909090909091,2.4075,0.8827787555838889,0.9383333333333334,0.0506,0.0322,0.9731065000000001,0.8797241176798688
2017-05,UncertaintyOnly,5600,1671,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2984,standard,0.603733,0.405922,-0.197811,0.12627169359664872,2.0741,0.928597353700554,0.8266666666666667,0.0084,0.1832,0.9267271666666667,0.877090494830476
2017-06,UncertaintyOnly,5600,1686,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.3011,standard,0.967862,0.352557,-0.615305,0.1387900355871886,2.1702,0.8911397776363336,0.7133333333333334,0.0076,0.2092,0.9427398333333332,0.829959986373952
2017-07,UncertaintyOnly,5600,1674,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2989,standard,0.419847,0.270072,-0.149776,0.1989247311827957,2.2419,0.9354802338296236,0.8316666666666667,0.006,0.0076,0.9784096666666666,0.9306730522311563
2017-08,UncertaintyOnly,5600,1681,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.3002,standard,0.333006,0.215104,-0.117902,0.1273051754907793,2.1963,0.9562235517291697,0.9466666666666667,0.0128,0.006,0.9830381666666667,0.9459749606297865
2017-09,UncertaintyOnly,5600,1678,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,uncertainty,0.2996,standard,0.347937,0.346238,-0.001699,0.12812872467222886,2.4051,0.9566487141821205,0.9466666666666667,0.0126,0.007,0.9837055000000001,0.9425086797938871
